user_id,target,account_detail_f,pro_cat_f,accessories_f,view_order_f,orders_f,contact_us_f,rewards_f,rewards_cart_f,deli_retrn_f,shop_f,prod_search_f,goalkeeper_f,loyalty_f,prod_coulour_f,clearance_f,sale_f,training_wear_f,page_views,sessions
7087,0,0,30,0,0,0,0,0,0,0,14,0,1,0,12,0,0,14,50,4
4893,0,0,15,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,24,1
6411,0,0,10,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,34,1
4479,1,24,86,13,9,19,1,14,2,1,137,0,4,14,90,5,7,23,488,36
6291,1,0,42,10,0,0,1,0,0,1,19,0,0,0,14,1,3,27,86,9
6000,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,9,1
5365,0,14,62,0,2,1,0,4,0,0,59,0,10,0,57,2,1,7,275,17
7172,0,1,2,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,13,4
7888,1,0,81,1,0,0,0,0,0,0,31,4,7,0,29,0,1,42,156,24
4118,1,13,80,1,1,1,1,0,0,0,87,0,11,0,19,0,0,15,231,15
4918,1,0,7,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,18,2
6491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
5616,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1
7066,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
8446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
5784,0,1,9,0,0,0,0,0,0,0,9,0,0,0,9,0,1,0,32,3
5045,0,0,8,0,0,0,0,0,0,0,4,0,0,0,4,0,1,0,17,1
8641,0,0,22,1,0,0,0,0,0,2,6,0,20,0,6,0,0,1,39,4
5932,0,2,46,0,0,0,0,0,0,0,18,0,7,0,16,1,0,3,84,1
6080,1,0,29,0,0,0,0,0,0,0,18,0,29,0,5,0,0,0,56,3
6192,1,0,145,0,0,0,0,0,0,1,50,0,0,0,34,0,0,96,224,18
6219,0,1,4,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,12,1
5921,1,7,61,9,3,3,0,2,0,0,67,0,2,0,27,2,6,61,191,11
3963,1,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,25,3
7994,0,3,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,14,1
7453,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
8023,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
8587,1,0,11,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,24,1
4449,1,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,53,2
9144,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
7122,0,1,3,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,13,2
6828,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
6528,1,3,29,0,0,0,0,0,0,1,35,0,0,0,33,0,2,24,106,5
4251,1,25,108,0,1,4,1,5,0,0,107,1,35,0,21,2,0,0,305,23
6178,0,2,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,11,1
8948,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1
4353,1,2,0,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,16,2
6495,0,1,14,0,0,0,0,0,0,0,9,0,2,0,11,0,0,2,46,2
3470,0,7,7,0,0,0,1,0,0,0,8,0,6,0,0,0,0,0,33,7
8810,1,3,45,4,0,1,0,9,1,0,38,0,20,1,33,1,0,0,128,1
4805,1,15,35,0,7,7,0,0,0,0,34,0,0,0,1,0,0,35,148,12
5713,0,0,4,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,21,2
5689,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
7437,1,0,20,0,0,0,0,0,0,0,13,0,0,0,13,0,0,14,45,6
4346,1,1,31,3,0,0,0,0,0,0,25,0,0,0,11,4,0,0,67,2
4992,1,4,93,3,0,1,0,3,1,1,80,0,26,6,33,1,3,17,219,12
7028,0,0,35,0,0,0,0,0,0,0,22,0,6,0,21,1,2,1,66,2
4979,1,2,38,0,0,1,0,0,0,0,32,2,0,0,10,0,0,26,103,7
6784,0,1,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,33,1
4775,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,13,2
5410,1,10,56,0,1,2,0,3,0,0,55,0,9,1,46,0,0,9,264,15
4839,1,0,19,0,0,0,0,0,0,0,11,2,16,0,10,0,0,1,43,8
4229,1,38,743,164,2,7,7,42,4,0,482,0,61,22,245,6,8,262,1596,120
6926,0,3,3,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,20,4
4488,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,21,2
3360,0,10,31,0,0,1,0,5,1,0,27,0,0,1,23,0,0,18,98,6
5802,0,11,48,14,0,0,0,2,1,0,15,0,16,0,14,0,0,2,97,3
5219,1,3,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,2,14,1
5496,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
4134,1,2,13,1,0,0,1,1,0,0,53,3,0,0,0,0,0,12,93,7
5262,1,3,2,2,0,0,0,0,0,0,5,0,0,0,3,0,0,2,21,2
